previous_crop,temperature,humidity,moisture,soil_type,soil_ph,rainfall,recommended_crop,
Pulses,33.52,60.46,47.85,Black,0.4,2511,Barley,
Sugarcane,29.44,59.34,55.51,Loamy,10.3,1949,Wheat,
Cotton,33.24,69.48,65.48,Clay,13.7,1444,Ground Nuts,
Tobacco,20.85,53.18,43.77,Loamy,7.8,2064,Maize,
Sugarcane,38.42,73.97,50.41,Loamy,3.5,2036,Wheat,
Maize,29.04,71.09,21.12,Sandy,12.4,1489,Pulses,
Sugarcane,23.59,55.82,62.92,Red,9.7,1521,Wheat,
Pulses,38.56,73.46,30.62,Black,3.6,857,Barley,
Cotton,30.87,63.94,46.2,Sandy,0.9,811,Ground Nuts,
Maize,25.83,51.1,59.57,Sandy,5.3,1284,Pulses,
Sugarcane,34.51,63.92,70,Loamy,9.5,2720,Wheat,
Pulses,31.92,62.59,27.78,Sandy,10.6,1951,Barley,
Sugarcane,28.43,58.72,43.9,Sandy,6.1,2816,Wheat,
Pulses,27.53,55.04,57.07,Sandy,10.6,2260,Barley,
Soybeans,24.53,67.4,48.49,Red,6,769,Cotton,
Wheat,30.82,51.91,54.23,Red,4.6,2447,Soybeans,
Cotton,32.53,59.45,20.16,Loamy,8.2,2273,Ground Nuts,
Cotton,28.17,58.69,34.11,Sandy,13.9,2385,Ground Nuts,
Soybeans,29.25,54.52,41.4,Clay,13.9,1173,Cotton,
Tobacco,22.26,51.36,48.36,Loamy,3.5,2970,Maize,
Ground Nuts,30.76,66.64,56.32,Red,0.6,470,Oilseeds,
Sugarcane,27.84,66.53,36.89,Loamy,4.5,2470,Wheat,
Wheat,29.21,64.21,54.95,Red,3,1044,Soybeans,
Pulses,26.01,59.52,35.75,Loamy,4.7,1790,Barley,
Cotton,29.5,55.42,51.17,Red,11.8,778,Ground Nuts,
Wheat,32.98,62.02,33.12,Red,9.4,655,Soybeans,
Barley,24.24,59.04,50.07,Loamy,2.6,671,Sugarcane,
Wheat,33.54,59.28,52.09,Clay,13,1497,Soybeans,
Ground Nuts,34.43,72.28,62.22,Clay,3.3,206,Oilseeds,
Barley,32.19,68.94,67.37,Sandy,4.1,1285,Sugarcane,
Wheat,28.38,52.02,43.83,Loamy,2.7,2054,Soybeans,
Maize,25.4,43.57,38.51,Red,1.5,534,Pulses,
Millet,33.8,52.28,53.31,Clay,13.2,336,Tobacco,
Soybeans,28.38,47.58,34.86,Black,2.4,2631,Cotton,
Sugarcane,30.08,73.84,41.22,Sandy,7.9,2549,Wheat,
Wheat,34.95,64.93,62.63,Clay,7.1,666,Soybeans,
Cotton,35.56,74.88,52.16,Clay,6.5,220,Ground Nuts,
Barley,23.42,53.65,69.68,Sandy,3,1052,Sugarcane,
Sugarcane,31.68,62.14,42.55,Black,5.9,1687,Wheat,
Maize,31.03,69,49.46,Loamy,11.2,259,Pulses,
Maize,31.78,44.27,45.07,Loamy,2.7,1482,Pulses,
Ground Nuts,22.3,60.64,40.78,Sandy,11.3,2938,Oilseeds,
Cotton,26.39,52.62,22.27,Sandy,10.5,961,Ground Nuts,
Tobacco,29.36,64.39,20,Red,10.9,2737,Maize,
Sugarcane,26.67,47.94,34.08,Black,4.8,2007,Wheat,
Barley,26.75,56.87,20,Clay,8.2,544,Sugarcane,
Sugarcane,30.64,65.77,32.86,Clay,3.3,651,Wheat,
Pulses,29.89,48.59,38,Clay,11.8,927,Barley,
Ground Nuts,28.61,62.22,41.53,Loamy,1.5,2153,Oilseeds,
Sugarcane,37.09,63.72,47.99,Red,2.2,204,Wheat,
Maize,21.78,55.6,33.66,Loamy,8.4,245,Pulses,
Wheat,30.42,70.37,55.92,Red,1.3,743,Soybeans,
Pulses,35.39,52.28,42.97,Sandy,6.2,1038,Barley,
Ground Nuts,28.09,56.62,36.14,Loamy,4.1,1063,Oilseeds,
Soybeans,22.95,55.86,31.58,Black,1.3,1126,Cotton,
Tobacco,32.06,75.56,55.73,Sandy,7.6,1148,Maize,
Maize,38.4,67.88,62.06,Clay,10.3,439,Pulses,
Pulses,33.59,66.16,69.67,Sandy,13.9,573,Barley,
Ground Nuts,26.47,62.91,46.87,Sandy,0.2,734,Oilseeds,
Ground Nuts,29.13,56.72,67.72,Clay,8.4,1502,Oilseeds,
Maize,26.75,58.1,39.27,Clay,11.9,2164,Pulses,
Millet,30.42,48.76,42.28,Red,1.4,2135,Tobacco,
Ground Nuts,24.9,51.02,31.9,Loamy,6.7,1974,Oilseeds,
Wheat,27.31,57.3,22.41,Loamy,1.6,258,Soybeans,
Ground Nuts,31.5,74.7,23.25,Clay,4.7,534,Oilseeds,
Millet,27.63,69.25,41.18,Loamy,1.3,1367,Tobacco,
Maize,22.59,45.7,33.13,Black,13,1226,Pulses,
Tobacco,35.97,60.1,26.8,Black,1.5,2321,Maize,
Sugarcane,27.69,55.55,27.9,Red,13.6,2629,Wheat,
Millet,24.27,52.43,62.34,Loamy,7.5,671,Tobacco,
Ground Nuts,30.42,50.01,26.27,Black,3.4,633,Oilseeds,
Barley,31.52,44.64,42.86,Red,8.8,1765,Sugarcane,
Wheat,30.64,57.57,46.45,Red,5.9,2601,Soybeans,
Soybeans,22.17,47.78,43.03,Clay,5.2,393,Cotton,
Maize,36.5,65.85,42.33,Loamy,7.7,611,Pulses,
Maize,35.13,65.69,37.76,Black,7.4,2463,Pulses,
Ground Nuts,24.82,53.75,47.97,Black,0.5,830,Oilseeds,
Cotton,29.77,46.18,63.79,Loamy,10.1,2310,Ground Nuts,
Cotton,30.15,60.77,42.93,Clay,3.1,646,Ground Nuts,
Ground Nuts,29.46,59.4,49.1,Clay,3.5,220,Oilseeds,
Cotton,29.37,64.45,64.66,Black,5.5,2024,Ground Nuts,
Millet,32.45,60.24,55.92,Sandy,12.5,757,Tobacco,
Soybeans,37.34,63.39,25.36,Red,8.2,1473,Cotton,
Cotton,30.41,67.24,65.58,Loamy,2.5,510,Ground Nuts,
Barley,31.9,55.45,59.87,Sandy,13.8,2240,Sugarcane,
Cotton,35.85,52.79,54.13,Clay,3.1,1828,Ground Nuts,
Pulses,28.87,49.91,35.02,Red,2.9,1695,Barley,
Sugarcane,29.67,58.75,40.69,Sandy,2.8,2333,Wheat,
Ground Nuts,32.2,50.72,39.63,Clay,0.3,2101,Oilseeds,
Millet,29.24,62.15,51.65,Black,4.1,1214,Tobacco,
Soybeans,34.15,71.16,41.7,Red,7.8,815,Cotton,
Barley,31.56,55.15,56.8,Red,5,2010,Sugarcane,
Barley,34.15,63.96,47.64,Red,3,2072,Sugarcane,
Wheat,30.7,57.71,38.36,Sandy,13.9,1014,Soybeans,
Ground Nuts,34.89,53.79,37.58,Red,4.6,2530,Oilseeds,
Cotton,26.7,63.42,24.65,Sandy,0.8,917,Ground Nuts,
Ground Nuts,23.75,61.43,52.94,Black,10.8,1577,Oilseeds,
Cotton,25.73,52.9,46.14,Red,9.7,2883,Ground Nuts,
Wheat,25.36,50.91,24.39,Loamy,7.3,2680,Soybeans,
Sugarcane,36.35,61.89,65.38,Black,5.2,2026,Wheat,
Millet,21.91,46.66,45.27,Black,13.6,962,Tobacco,
Pulses,26.44,65.84,50.2,Clay,12.4,465,Barley,
Wheat,28.93,50.28,20.33,Red,6.3,1853,Soybeans,
Maize,30.06,53.68,70,Sandy,12,589,Pulses,
Pulses,35.29,64.13,46.59,Clay,8.8,610,Barley,
Pulses,24.61,63.9,70,Loamy,7.9,2739,Barley,
Millet,29.38,60.44,45.57,Clay,4.1,2278,Tobacco,
Barley,30.2,51.16,32.5,Red,8.1,1280,Sugarcane,
Sugarcane,32.46,68.2,64.77,Sandy,9.6,474,Wheat,
Ground Nuts,37.9,75.51,25.35,Clay,4.4,450,Oilseeds,
Cotton,31.1,55.48,46.43,Sandy,4.2,2324,Ground Nuts,
Wheat,31.75,62.4,34.97,Black,1.5,2430,Soybeans,
Pulses,27.29,57.56,53.09,Black,10.3,2019,Barley,
Soybeans,26.71,55.89,69.87,Loamy,1.5,2553,Cotton,
Barley,29.73,58.67,29.64,Red,4.3,2229,Sugarcane,
Maize,25.93,54.07,23.84,Loamy,3.6,1330,Pulses,
Maize,26.47,55.37,59.34,Sandy,8.4,380,Pulses,
Barley,21.92,53,33.57,Black,4.2,497,Sugarcane,
Sugarcane,29.55,45.99,50.06,Red,13.8,444,Wheat,
Pulses,28.29,60.24,33.44,Black,2.4,891,Barley,
Pulses,31.31,73.26,70,Loamy,7.8,1917,Barley,
Cotton,30.05,58.21,23.31,Loamy,1.6,1003,Ground Nuts,
Soybeans,31.27,62.18,32.06,Sandy,8.5,2065,Cotton,
Ground Nuts,32.51,61.45,70,Loamy,4.6,289,Oilseeds,
Tobacco,30.28,69.29,53.16,Sandy,3.8,727,Maize,
Sugarcane,28.02,54.85,55.71,Sandy,10.3,2847,Wheat,
Sugarcane,28.66,56.26,39.29,Black,11.4,1384,Wheat,
Millet,30.85,70.39,29.35,Black,6.1,2039,Tobacco,
Pulses,24.51,62.55,65.83,Loamy,3.1,2794,Barley,
Ground Nuts,22.33,56.84,29.98,Black,12,2911,Oilseeds,
Tobacco,29.75,55.39,28.42,Sandy,8.9,1959,Maize,
Ground Nuts,28.27,52.86,22.36,Clay,8.9,1154,Oilseeds,
Soybeans,33.27,67.2,40.49,Loamy,4.6,1978,Cotton,
Millet,38.53,70.2,28.94,Loamy,9.3,1769,Tobacco,
Wheat,23.66,55.66,31.32,Red,5.8,531,Soybeans,
Wheat,35.01,71.58,39.2,Black,11.5,2339,Soybeans,
Maize,36.92,69.78,32.64,Clay,12.1,1960,Pulses,
Tobacco,23.74,47.23,43.64,Red,4.8,454,Maize,
Tobacco,30.51,48.99,28.68,Black,1,2405,Maize,
Tobacco,27.02,68.83,33.05,Black,4.6,808,Maize,
Barley,27.77,42.89,59.1,Red,13.5,1998,Sugarcane,
Cotton,39.65,63.55,47.33,Red,4.4,2213,Ground Nuts,
Barley,37.27,64.08,36.28,Red,12.5,1651,Sugarcane,
Pulses,27.93,64.17,62.13,Black,0.9,2778,Barley,
Sugarcane,29.95,61.75,36.58,Black,2.1,2154,Wheat,
Soybeans,24.97,59.24,47.46,Sandy,3.5,447,Cotton,
Soybeans,27.68,61.68,59.47,Clay,12.1,1537,Cotton,
Cotton,23.82,47.74,30.62,Black,5.9,511,Ground Nuts,
Pulses,34.57,69.61,57.23,Clay,12.5,1782,Barley,
Pulses,35.1,70.14,56.12,Loamy,10.6,1391,Barley,
Barley,33.71,59.42,29.32,Black,6.2,656,Sugarcane,
Cotton,24.75,45.31,49.7,Clay,10.2,2771,Ground Nuts,
Millet,37.36,59.64,53.7,Loamy,13.6,1669,Tobacco,
Maize,32.22,56.29,48.76,Black,10.5,1263,Pulses,
Soybeans,32.35,48.81,46.33,Loamy,3.2,2337,Cotton,
Cotton,40,80,59.99,Clay,6.3,1701,Ground Nuts,
Cotton,25.85,62.32,48.82,Red,7.1,1721,Ground Nuts,
Barley,30.61,66.36,42.09,Red,3.3,1673,Sugarcane,
Maize,34.51,54.79,54.12,Loamy,6,1477,Pulses,
Soybeans,29.66,43.74,43.31,Red,13.1,2460,Cotton,
Maize,31.75,46.82,37.35,Red,5.3,839,Pulses,
Wheat,30.97,58.53,29.79,Loamy,10.5,2345,Soybeans,
Wheat,29.87,63.64,61.4,Black,0.6,1056,Soybeans,
Maize,25.09,54.56,34.08,Red,9.5,1292,Pulses,
Cotton,29.76,45.13,30.91,Red,0.1,350,Ground Nuts,
Tobacco,31.38,69.36,35.4,Black,2,2426,Maize,
Ground Nuts,36.7,70.28,23.31,Sandy,4.5,2223,Oilseeds,
Barley,26.91,44.27,23.76,Loamy,8.9,334,Sugarcane,
Barley,31.98,55.89,57.6,Red,10,2157,Sugarcane,
Soybeans,30.46,48.84,33.31,Red,7.5,2540,Cotton,
Soybeans,29.24,54.29,47.85,Clay,2.1,1719,Cotton,
Maize,31.38,67.84,59.74,Loamy,13.7,1352,Pulses,
Maize,29.08,54.19,61.72,Clay,5.1,1160,Pulses,
Cotton,40,60.8,50.41,Black,2.2,671,Ground Nuts,
Ground Nuts,23.18,53.55,20,Black,12.8,2239,Oilseeds,
Barley,32.61,54.79,70,Black,12.6,200,Sugarcane,
Soybeans,36.12,72.17,33.4,Sandy,11.5,278,Cotton,
Barley,23.88,57.05,35.25,Loamy,6.9,1114,Sugarcane,
Pulses,30.78,64.7,35.01,Clay,6.3,1287,Barley,
Soybeans,36.46,65.08,43.87,Red,0.1,1391,Cotton,
Sugarcane,40,77.61,29.53,Loamy,9.4,878,Wheat,
Wheat,32,57.73,35.48,Black,6,2882,Soybeans,
Sugarcane,32.69,69.21,22.19,Black,4.1,1440,Wheat,
Sugarcane,29.63,45.37,21.76,Black,0.8,827,Wheat,
Pulses,34.22,56.39,49.89,Red,5.1,1015,Barley,
Wheat,36.56,76.26,36.26,Sandy,8.4,921,Soybeans,
Pulses,37,62.94,55.83,Loamy,0.2,539,Barley,
Millet,37.66,74.6,28.6,Black,13.8,2318,Tobacco,
Ground Nuts,36.42,75.12,46.56,Sandy,7.2,995,Oilseeds,
Ground Nuts,29.92,50.41,62.32,Clay,7.9,1784,Oilseeds,
Maize,31.96,49.13,52.38,Loamy,7.5,1277,Pulses,
Cotton,38.65,62.79,58.95,Black,9.4,818,Ground Nuts,
Tobacco,24.94,50.42,55.75,Red,5.5,291,Maize,
Pulses,26.11,52.09,44.94,Black,0.9,1390,Barley,
Barley,39.68,75.02,51.69,Clay,3.5,642,Sugarcane,
Millet,32.74,64.14,68.56,Red,4,376,Tobacco,
Tobacco,25.3,50.31,45.77,Loamy,3.8,2039,Maize,
Sugarcane,35.12,61.28,35.3,Red,12.7,2978,Wheat,
Tobacco,31.57,46.3,28.05,Red,3.3,1069,Maize,
Wheat,38,61.23,26.32,Black,6.2,1363,Soybeans,
Barley,36.29,71,56.12,Black,0.4,506,Sugarcane,
Pulses,32.76,61.99,68.62,Black,4,1788,Barley,
Wheat,33.01,61.9,32.87,Sandy,5.9,1735,Soybeans,
Soybeans,27.09,64.13,38,Black,7.3,1620,Cotton,
Wheat,30.15,68.23,37.36,Sandy,0.9,562,Soybeans,
Wheat,31.08,61.81,34.73,Red,12.4,2839,Soybeans,
Maize,34.99,65.23,27.62,Clay,11.5,1921,Pulses,
Millet,28.29,46.16,41.47,Black,3.8,2932,Tobacco,
Barley,37.61,61.11,36.72,Loamy,3,2786,Sugarcane,
Barley,36.02,69.03,54.45,Sandy,11.1,418,Sugarcane,
Tobacco,28.58,41.09,30.84,Red,8.2,1964,Maize,
Tobacco,24.6,52.29,30.92,Black,9.9,1672,Maize,
Cotton,29.87,56.39,37.84,Sandy,3.4,1913,Ground Nuts,
Millet,29.85,47.2,57.02,Sandy,8.4,1131,Tobacco,
Millet,26.12,63.44,63.43,Loamy,7.9,2777,Tobacco,
Wheat,34.94,57.44,52.37,Sandy,9,2735,Soybeans,
Soybeans,31.59,63.18,56.9,Black,10.6,2030,Cotton,
Maize,37.33,67.17,37.59,Loamy,2.1,2579,Pulses,
Tobacco,24.02,45.09,67.89,Loamy,7.3,2489,Maize,
Wheat,33.56,66.29,26.04,Clay,11,2523,Soybeans,
Barley,30.78,50.3,52.95,Clay,10.8,1903,Sugarcane,
Ground Nuts,32.39,66.19,63.37,Clay,10,1279,Oilseeds,
Barley,31.26,67.75,26.57,Black,12.7,1336,Sugarcane,
Ground Nuts,38.04,69.01,42.8,Red,3,2665,Oilseeds,
Soybeans,32.73,62.66,34.5,Red,8.2,1372,Cotton,
Soybeans,27.79,60.14,41.16,Clay,13.4,455,Cotton,
Pulses,32.24,55.75,45.85,Black,8.5,401,Barley,
Pulses,31.18,60.59,20.77,Black,6.8,1877,Barley,
Ground Nuts,34.04,65.18,55.33,Black,7.7,1514,Oilseeds,
Pulses,28.92,49.12,20,Black,5,534,Barley,
Wheat,36.08,74.86,38.71,Red,12.3,1027,Soybeans,
Millet,32.57,62.47,37.05,Sandy,13.3,444,Tobacco,
Ground Nuts,32.53,51.27,44.71,Sandy,12.9,1771,Oilseeds,
Soybeans,25.19,60.71,52.06,Red,2.4,2013,Cotton,
Wheat,28.66,47.45,44.04,Loamy,0,1639,Soybeans,
Soybeans,24.59,58.22,64.12,Sandy,7.7,2565,Cotton,
Tobacco,25.71,59.93,51.81,Clay,11.9,253,Maize,
Wheat,28.24,54.62,35.02,Clay,2.2,387,Soybeans,
Maize,33.95,61,45.29,Clay,6.5,617,Pulses,
Sugarcane,33.88,59.02,35.32,Clay,7.5,202,Wheat,
Maize,33.25,69.66,51.62,Sandy,11.6,2493,Pulses,
Pulses,30.25,72.59,57.4,Black,7.9,1687,Barley,
Ground Nuts,37.68,62.61,54.72,Black,10.5,2088,Oilseeds,
Ground Nuts,30.29,58.63,51.24,Loamy,9.7,1839,Oilseeds,
Soybeans,27.47,53.06,40,Red,4.8,1846,Cotton,
Cotton,29.05,52,53.16,Black,4.4,1526,Ground Nuts,
Tobacco,22.27,58.06,38.54,Black,6.2,1784,Maize,
Cotton,26.4,57.87,57.72,Sandy,11.8,964,Ground Nuts,
Sugarcane,24.38,52.09,25.67,Loamy,14,434,Wheat,
Pulses,33.24,51.28,65.32,Black,13.5,480,Barley,
Barley,27.41,52.54,41.48,Black,5.6,2883,Sugarcane,
Maize,32.64,77.53,39.18,Clay,3.5,1732,Pulses,
Barley,27.61,71.93,41.84,Red,12.5,599,Sugarcane,
Barley,36.71,76.2,24.17,Sandy,12.4,2768,Sugarcane,
Cotton,38.33,70.83,45.85,Loamy,8.3,2329,Ground Nuts,
Pulses,31.36,44.29,43.74,Sandy,7,2341,Barley,
Maize,31.97,57.04,39.26,Loamy,11.5,1374,Pulses,
Sugarcane,30.86,66.38,42.56,Clay,11.2,2153,Wheat,
Millet,29.81,63.42,20,Loamy,5.5,1265,Tobacco,
Barley,30.18,68.42,36.95,Clay,5.9,724,Sugarcane,
Cotton,25.23,62.86,38.43,Red,7,2287,Ground Nuts,
Maize,37.04,68.38,51.4,Red,6.3,1196,Pulses,
Soybeans,26.14,52.36,40.32,Clay,11.8,2094,Cotton,
Sugarcane,25.71,49.13,33.26,Sandy,9,1183,Wheat,
Soybeans,30.12,69.25,21.43,Loamy,1.3,890,Cotton,
Cotton,27.34,63.01,48.83,Black,6.9,2281,Ground Nuts,
Pulses,30.29,69.44,58.64,Clay,6,2702,Barley,
Millet,33.67,68.27,57.75,Clay,5.6,503,Tobacco,
Sugarcane,34.7,66.76,69.2,Loamy,12.7,2005,Wheat,
Wheat,33.48,62.18,48.6,Black,5.1,1407,Soybeans,
Tobacco,33.6,60.98,68.08,Clay,13.3,542,Maize,
Sugarcane,31.74,62.32,52.3,Loamy,6.2,526,Wheat,
Wheat,29.56,70.11,44.74,Sandy,5.3,2116,Soybeans,
Barley,33.71,58.93,43.88,Loamy,7.1,1797,Sugarcane,
Maize,21.93,44.5,63.49,Red,8.3,1820,Pulses,
Maize,33.53,60.05,37.18,Red,8.9,470,Pulses,
Ground Nuts,25.31,51.61,33.05,Red,10.2,680,Oilseeds,
Ground Nuts,31.78,65.4,52.23,Sandy,2.3,1121,Oilseeds,
Pulses,34.68,58.89,27.43,Sandy,11.7,732,Barley,
Millet,39.75,60.73,38.94,Clay,1.4,1840,Tobacco,
Wheat,24.06,40.2,34.24,Black,2,2765,Soybeans,
Sugarcane,38.25,74.83,48.66,Clay,2.2,1518,Wheat,
Millet,40,64.51,51.07,Red,7.4,1864,Tobacco,
Millet,35.73,71.25,45.65,Clay,12.1,2905,Tobacco,
Maize,31.33,52.44,48.45,Black,4.2,1570,Pulses,
Maize,32.64,71.49,45.45,Black,12.4,2448,Pulses,
Millet,24.83,51.23,46.97,Red,2.2,2367,Tobacco,
Tobacco,27.61,52.18,38.91,Black,2,1926,Maize,
Barley,25.3,51.45,24.59,Sandy,3.1,2777,Sugarcane,
Pulses,31.71,58.44,35.47,Loamy,6.5,2993,Barley,
Barley,25.28,55.82,32.12,Clay,6,1337,Sugarcane,
Sugarcane,29.97,58.25,31.86,Loamy,4.1,2326,Wheat,
Wheat,32.38,58.5,45.02,Red,7.5,2261,Soybeans,
Sugarcane,30.69,59.44,51.07,Sandy,10.3,2563,Wheat,
Millet,33.71,71.14,43.81,Clay,5.5,1990,Tobacco,
Cotton,26.91,52.52,30.81,Black,3.1,2990,Ground Nuts,
Tobacco,29.32,51.48,40.11,Red,3.7,1642,Maize,
Wheat,25.99,55.37,65.56,Sandy,4.8,1425,Soybeans,
Wheat,33.65,66.5,65.99,Black,13.4,323,Soybeans,
Wheat,29.23,55.19,29.27,Red,0.9,678,Soybeans,
Wheat,26.92,56.83,44.88,Loamy,5.5,2037,Soybeans,
Soybeans,35.51,70.33,59.14,Loamy,3.8,1285,Cotton,
Tobacco,27.1,61.29,41.14,Sandy,13.8,358,Maize,
Soybeans,32.66,55.25,20,Red,1.8,287,Cotton,
Maize,35.8,55.37,57.55,Clay,3.7,1069,Pulses,
Maize,29.38,54.47,52.56,Sandy,13,2282,Pulses,
Millet,36.66,76.82,39.74,Sandy,1.7,2023,Tobacco,
Wheat,32.53,60.02,29.35,Clay,2.8,2776,Soybeans,
Pulses,32.66,74.93,33.56,Black,8.7,1281,Barley,
Maize,34.63,63.8,24.01,Black,12.7,2904,Pulses,
